,num_words,use_tfidf,model,accuracy,precision,recall,f1,auc
22,120,True,log,0.517378915835562,0.7113378012795525,0.15504309127435817,0.2545427270922664,0.6594100357181596
23,120,True,tree100,0.5392157308975223,0.5630249087942734,0.5949815552108566,0.5785573613708576,0.5051915783544527
24,130,True,log,0.519385658300185,0.714545486243198,0.16860183841315918,0.27280978022338465,0.661275679828585
25,130,True,tree100,0.5386420233728084,0.5649535938607151,0.5968230930495081,0.5804501926888266,0.5022149719795267
26,140,True,log,0.5217166567956877,0.7146461408641763,0.1719082983532451,0.27713405290576376,0.6701408448522351
27,140,True,tree100,0.5389556558017905,0.5644651355233353,0.5936067161769454,0.5786635429480114,0.508820018721241
28,150,True,log,0.5227763943786654,0.7151787369400007,0.17658866443195695,0.28320985473956506,0.669273515968882
29,150,True,tree100,0.5397256721416779,0.5653862224833751,0.5965636397440022,0.5805545170656684,0.5075904753143474
30,160,True,log,0.5251993105269483,0.7184874158300595,0.18235667674798664,0.2908332852730342,0.6704123439734683
31,160,True,tree100,0.5415444736983608,0.5674670413307499,0.5948379129078551,0.5808268361768185,0.5121036590315692
32,170,True,log,0.5239706968489336,0.7165694519589882,0.18233257642167774,0.29067508220564015,0.6696429261374862
33,170,True,tree100,0.541949882646378,0.5685064603639076,0.5965628179808865,0.5821866098186044,0.5089028996770006
34,180,True,log,0.5244654289695375,0.7155051130651957,0.1858694803868988,0.295067219938484,0.6655522535194114
35,180,True,tree100,0.5411456342039533,0.5685113242550132,0.5938365269017425,0.5808834775742049,0.507711751437645
36,190,True,log,0.5261504699288885,0.7162644394406879,0.18857201222189662,0.2985255168048143,0.6721327804223094
37,190,True,tree100,0.5434852988947156,0.5701040690058615,0.5946820061814779,0.5821325566308531,0.5106784658612222
38,200,True,log,0.5260958308455723,0.7161850839375485,0.1956522037103884,0.3073392076875593,0.6755868051346292
39,200,True,tree100,0.5450204601753347,0.5734128974546121,0.5988255961311568,0.585840198359905,0.5111420062258123
40,210,True,log,0.5273093289007524,0.7188173754551775,0.196607900316501,0.3087617096527262,0.6715047689915814
41,210,True,tree100,0.5446350229884527,0.5728043769765995,0.5978510697768812,0.5850579774458404,0.5154355075793324
42,220,True,log,0.5374237812256958,0.739983108387548,0.21455249903138318,0.33264518664571907,0.6800874003390366
43,220,True,tree100,0.5455764185411971,0.5745773686057676,0.5943742735373886,0.5843049924856558,0.5160735403583661
44,230,True,log,0.5368243304318485,0.7355922831428191,0.2174583866436519,0.33565255366864594,0.6804804059327174
45,230,True,tree100,0.5435226770677335,0.5729276368494345,0.5958021248193461,0.5841366489983792,0.5145861370597234
46,240,True,log,0.5388087596293238,0.7380702319660928,0.22261797949294532,0.34205510358902436,0.6793600922269762
47,240,True,tree100,0.5464894530496806,0.5763153836964664,0.5960327657361317,0.5860006201978102,0.514451831605797
48,250,True,log,0.5369862228805855,0.7347467403022666,0.2183485510948538,0.33663220476913813,0.6833162944699869
49,250,True,tree100,0.546213223615967,0.5754300556035445,0.5975839369209811,0.5862897111958454,0.5192038538562799
50,260,True,log,0.5366212761740589,0.7332099087697397,0.22049226016329065,0.3390256509230807,0.67699208558793
51,260,True,tree100,0.5451528194629913,0.5752221310408607,0.5967546527706159,0.5857841536745193,0.515190049003722
52,270,True,log,0.538924569990458,0.7336109142294828,0.22487775061124693,0.3442120656699387,0.6816468812051975
53,270,True,tree100,0.5460540680237473,0.5756939759184577,0.594804400977995,0.5850883291219592,0.5156550270667972
54,280,True,log,0.5410591171270023,0.7353349946848803,0.2332094869334999,0.3541035859948175,0.6814535779453412
55,280,True,tree100,0.5485684110994518,0.578595622284646,0.6007432268370184,0.5894570904307506,0.5140780411372236
56,290,True,log,0.5414367522278429,0.7358907316520483,0.2316372589454196,0.35235757577892074,0.6853945887859306
57,290,True,tree100,0.5489833816927374,0.5784375110405829,0.5991826825281361,0.5886224252040724,0.5167793452718343
58,300,True,log,0.5409812139866329,0.735684690914917,0.2314945946657037,0.352168624645835,0.6877403421582724
